"body_mass_value","migration_strategy","population"
226.08,"for_strat_ground",100
226.08,"for_strat_understory",0
226.08,"for_strat_midhigh",0
226.08,"for_strat_canopy",0
226.08,"for_strat_aerial",0
257.48,"for_strat_watbelowsurf",0
257.48,"for_strat_wataroundsurf",0
257.48,"for_strat_ground",100
257.48,"for_strat_understory",0
257.48,"for_strat_midhigh",0
257.48,"for_strat_canopy",0
257.48,"for_strat_aerial",0
165.8,"for_strat_watbelowsurf",0
165.8,"for_strat_wataroundsurf",0
165.8,"for_strat_ground",100
165.8,"for_strat_understory",0
165.8,"for_strat_midhigh",0
165.8,"for_strat_canopy",0
165.8,"for_strat_aerial",0
283,"for_strat_watbelowsurf",0
283,"for_strat_wataroundsurf",0
283,"for_strat_ground",100
283,"for_strat_understory",0
283,"for_strat_midhigh",0
283,"for_strat_canopy",0
283,"for_strat_aerial",0
43,"for_strat_watbelowsurf",0
43,"for_strat_wataroundsurf",0
43,"for_strat_ground",80
43,"for_strat_understory",20
43,"for_strat_midhigh",0
43,"for_strat_canopy",0
43,"for_strat_aerial",0
702.9,"for_strat_watbelowsurf",0
702.9,"for_strat_wataroundsurf",0
702.9,"for_strat_ground",80
702.9,"for_strat_understory",20
702.9,"for_strat_midhigh",0
702.9,"for_strat_canopy",0
702.9,"for_strat_aerial",0
772.93,"for_strat_watbelowsurf",0
772.93,"for_strat_wataroundsurf",0
772.93,"for_strat_ground",100
772.93,"for_strat_understory",0
772.93,"for_strat_midhigh",0
772.93,"for_strat_canopy",0
772.93,"for_strat_aerial",0
650,"for_strat_watbelowsurf",0
650,"for_strat_wataroundsurf",0
650,"for_strat_ground",100
650,"for_strat_understory",0
650,"for_strat_midhigh",0
650,"for_strat_canopy",0
650,"for_strat_aerial",0
730,"for_strat_watbelowsurf",0
730,"for_strat_wataroundsurf",0
730,"for_strat_ground",60
730,"for_strat_understory",40
730,"for_strat_midhigh",0
730,"for_strat_canopy",0
730,"for_strat_aerial",0
562.6,"for_strat_watbelowsurf",0
562.6,"for_strat_wataroundsurf",0
562.6,"for_strat_ground",0
562.6,"for_strat_understory",0
562.6,"for_strat_midhigh",50
562.6,"for_strat_canopy",50
562.6,"for_strat_aerial",0
493,"for_strat_watbelowsurf",0
493,"for_strat_wataroundsurf",0
493,"for_strat_ground",20
493,"for_strat_understory",0
493,"for_strat_midhigh",40
493,"for_strat_canopy",40
493,"for_strat_aerial",0
532,"for_strat_watbelowsurf",0
532,"for_strat_wataroundsurf",0
532,"for_strat_ground",0
532,"for_strat_understory",0
532,"for_strat_midhigh",50
532,"for_strat_canopy",50
532,"for_strat_aerial",0
586.24,"for_strat_watbelowsurf",0
586.24,"for_strat_wataroundsurf",0
586.24,"for_strat_ground",20
586.24,"for_strat_understory",0
586.24,"for_strat_midhigh",40
586.24,"for_strat_canopy",40
586.24,"for_strat_aerial",0
632,"for_strat_watbelowsurf",0
632,"for_strat_wataroundsurf",0
632,"for_strat_ground",20
632,"for_strat_understory",0
632,"for_strat_midhigh",40
632,"for_strat_canopy",40
632,"for_strat_aerial",0
833.99,"for_strat_watbelowsurf",0
