"ioc_order","bl_family_english","scientific","english","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_plant_o","diet_5cat","for_strat_watbelowsurf","for_strat_wataroundsurf","for_strat_ground","for_strat_understory","for_strat_midhigh","for_strat_canopy","for_strat_aerial","nocturnal","body_mass_value"
"Passeriformes","Grosbeaks, saltators and allies","Piranga flava","Hepatic Tanager",80,0,0,0,0,0,20,0,0,0,"Invertebrate",0,0,0,10,30,60,0,0,37.7
"Passeriformes","Grosbeaks, saltators and allies","Piranga rubra","Summer Tanager",90,0,0,0,0,0,10,0,0,0,"Invertebrate",0,0,0,20,30,30,20,0,29.13
"Passeriformes","Grosbeaks, saltators and allies","Piranga roseogularis","Rose-throated Tanager",70,0,0,0,0,0,30,0,0,0,"Invertebrate",0,0,0,0,80,20,0,0,24
"Passeriformes","Grosbeaks, saltators and allies","Piranga olivacea","Scarlet Tanager",80,0,0,0,0,0,10,0,0,10,"Invertebrate",0,0,10,10,40,40,0,0,28.2
"Passeriformes","Grosbeaks, saltators and allies","Piranga ludoviciana","Western Tanager",80,0,0,0,0,0,20,0,0,0,"Invertebrate",0,0,0,0,30,40,30,0,28.1
"Passeriformes","Grosbeaks, saltators and allies","Piranga leucoptera","White-winged Tanager",50,0,0,0,0,0,30,0,20,0,"Omnivore",0,0,0,10,50,40,0,0,16
"Passeriformes","Grosbeaks, saltators and allies","Piranga erythrocephala","Red-headed Tanager",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,0,0,100,0,0,0,21.8
"Passeriformes","Grosbeaks, saltators and allies","Piranga rubriceps","Red-hooded Tanager",60,0,0,0,0,0,20,0,20,0,"Invertebrate",0,0,0,0,70,30,0,0,35.9
"Passeriformes","Tanagers","Calochaetes coccineus","Vermilion Tanager",50,0,0,0,0,0,40,0,10,0,"Omnivore",0,0,0,0,20,70,10,0,46.4
"Passeriformes","Tanagers","Ramphocelus sanguinolentus","Crimson-collared Tanager",40,0,0,0,0,0,20,0,30,10,"Omnivore",0,0,60,30,10,0,0,0,41
"Passeriformes","Tanagers","Ramphocelus nigrogularis","Masked Crimson Tanager",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,0,0,80,20,0,0,31
"Passeriformes","Tanagers","Ramphocelus dimidiatus","Crimson-backed Tanager",30,0,0,0,0,0,40,0,30,0,"Omnivore",0,0,10,50,40,0,0,0,28
"Passeriformes","Tanagers","Ramphocelus melanogaster","Huallaga Tanager",40,0,0,0,0,0,60,0,0,0,"FruiNect",0,0,0,40,60,0,0,0,25
"Passeriformes","Tanagers","Ramphocelus carbo","Silver-beaked Tanager",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,0,50,40,10,0,0,25.92
"Passeriformes","Tanagers","Ramphocelus bresilius","Brazilian Tanager",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,0,70,30,0,0,0,32.9
"Passeriformes","Tanagers","Ramphocelus passerinii","Scarlet-rumped Tanager",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,20,50,30,0,0,0,32
"Passeriformes","Tanagers","Ramphocelus flammigerus","Flame-rumped Tanager",30,0,0,0,0,0,70,0,0,0,"FruiNect",0,0,10,30,40,20,0,0,33
"Passeriformes","Tanagers","Spindalis zena","Western Spindalis",0,0,0,0,0,0,60,0,0,40,"FruiNect",0,0,0,30,30,40,0,0,25.36
"Passeriformes","Tanagers","Thraupis episcopus","Blue-grey Tanager",40,0,0,0,0,0,50,0,0,10,"Omnivore",0,0,0,10,90,0,0,0,35
"Passeriformes","Tanagers","Thraupis glaucocolpa","Glaucous Tanager",40,0,0,0,0,0,30,30,0,0,"FruiNect",0,0,0,0,20,80,0,0,31.6
"Passeriformes","Tanagers","Thraupis sayaca","Sayaca Tanager",10,0,0,0,0,0,50,0,40,0,"Omnivore",0,0,10,0,20,70,0,0,32.49
"Passeriformes","Tanagers","Thraupis cyanoptera","Azure-shouldered Tanager",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,10,0,20,70,0,0,43.3
"Passeriformes","Tanagers","Thraupis ornata","Golden-chevroned Tanager",20,0,0,0,0,0,80,0,0,0,"FruiNect",0,0,10,10,20,60,0,0,33
"Passeriformes","Tanagers","Thraupis abbas","Yellow-winged Tanager",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,10,0,30,60,0,0,45
"Passeriformes","Tanagers","Thraupis palmarum","Palm Tanager",10,0,0,0,0,0,60,10,20,0,"FruiNect",0,0,0,0,20,70,10,0,39
"Passeriformes","Tanagers","Thraupis cyanocephala","Blue-capped Tanager",30,0,0,0,0,0,70,0,0,0,"FruiNect",0,0,0,0,20,70,10,0,36
"Passeriformes","Tanagers","Thraupis bonariensis","Blue-and-yellow Tanager",0,0,0,0,0,0,80,0,10,10,"FruiNect",0,0,0,30,30,40,0,0,36
"Passeriformes","Tanagers","Cyanicterus cyanicterus","Blue-backed Tanager",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,0,0,50,50,0,0,34
"Passeriformes","Tanagers","Bangsia arcaei","Blue-and-gold Tanager",20,0,0,0,0,0,60,20,0,0,"FruiNect",0,0,40,40,20,0,0,0,37.2
"Passeriformes","Tanagers","Bangsia melanochlamys","Black-and-gold Tanager",20,0,0,0,0,0,50,10,20,0,"FruiNect",0,0,40,60,0,0,0,0,37.16
"Passeriformes","Tanagers","Bangsia rothschildi","Golden-chested Tanager",0,0,0,0,0,0,50,20,30,0,"FruiNect",0,0,40,60,0,0,0,0,40.94
"Passeriformes","Tanagers","Bangsia edwardsi","Moss-backed Tanager",30,0,0,0,0,0,40,0,30,0,"Omnivore",0,0,40,60,0,0,0,0,37
"Passeriformes","Tanagers","Bangsia aureocincta","Gold-ringed Tanager",40,0,0,0,0,0,40,0,20,0,"Omnivore",0,0,0,33,33,33,0,0,41.7
"Passeriformes","Tanagers","Buthraupis montana","Hooded Mountain-tanager",10,0,0,0,0,0,70,0,20,0,"FruiNect",0,0,0,20,50,30,0,0,87.08
"Passeriformes","Tanagers","Buthraupis eximia","Black-chested Mountain-tanager",0,0,0,0,0,0,50,0,50,0,"Omnivore",0,0,0,0,50,50,0,0,62.7
"Passeriformes","Tanagers","Buthraupis aureodorsalis","Golden-backed Mountain-tanager",10,0,0,0,0,0,50,0,40,0,"Omnivore",0,0,20,20,40,20,0,0,85
"Passeriformes","Tanagers","Buthraupis wetmorei","Masked Mountain-tanager",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,0,10,80,10,0,0,62.5
"Passeriformes","Tanagers","Wetmorethraupis sterrhopteron","Orange-throated Tanager",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,0,0,0,100,0,0,50.2
"Passeriformes","Tanagers","Anisognathus melanogenys","Santa Marta Mountain-tanager",20,0,0,0,0,0,70,0,10,0,"FruiNect",0,0,0,20,70,10,0,0,41
