"body_mass_value","diet_type","population"
806.71,"plant_o",0
1179.66,"inv",0
1179.66,"vend",0
1179.66,"vect",0
1179.66,"vfish",0
1179.66,"vunk",0
1179.66,"scav",0
1179.66,"fruit",100
1179.66,"nect",0
1179.66,"seed",0
1179.66,"plant_o",0
1179.66,"inv",0
1179.66,"vend",0
1179.66,"vect",0
1179.66,"vfish",0
1179.66,"vunk",0
1179.66,"scav",0
1179.66,"fruit",80
1179.66,"nect",0
1179.66,"seed",0
1179.66,"plant_o",20
706,"inv",0
706,"vend",0
706,"vect",0
706,"vfish",0
706,"vunk",0
706,"scav",0
706,"fruit",100
706,"nect",0
706,"seed",0
706,"plant_o",0
879.67,"inv",0
879.67,"vend",0
879.67,"vect",0
879.67,"vfish",0
879.67,"vunk",0
879.67,"scav",0
879.67,"fruit",100
879.67,"nect",0
879.67,"seed",0
879.67,"plant_o",0
894.99,"inv",10
894.99,"vend",0
894.99,"vect",0
894.99,"vfish",0
894.99,"vunk",0
894.99,"scav",0
894.99,"fruit",90
894.99,"nect",0
894.99,"seed",0
894.99,"plant_o",0
1230,"inv",0
1230,"vend",0
1230,"vect",0
1230,"vfish",0
1230,"vunk",0
1230,"scav",0
1230,"fruit",80
1230,"nect",0
1230,"seed",0
1230,"plant_o",20
2060,"inv",10
2060,"vend",0
2060,"vect",0
2060,"vfish",0
2060,"vunk",0
2060,"scav",0
2060,"fruit",70
2060,"nect",0
2060,"seed",0
2060,"plant_o",20
1179.66,"inv",0
1179.66,"vend",0
1179.66,"vect",0
1179.66,"vfish",0
1179.66,"vunk",0
1179.66,"scav",0
1179.66,"fruit",80
1179.66,"nect",0
1179.66,"seed",0
1179.66,"plant_o",20
1750,"inv",0
1750,"vend",0
1750,"vect",0
1750,"vfish",0
1750,"vunk",0
1750,"scav",0
1750,"fruit",50
1750,"nect",0
1750,"seed",0
1750,"plant_o",50
1487.9,"inv",0
1487.9,"vend",0
1487.9,"vect",0
1487.9,"vfish",0
1487.9,"vunk",0
