"diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_plant_o","body_mass_value"
50,0,0,0,0,0,0,0,50,0,791.53
0,0,0,0,0,0,0,0,100,0,878
30,0,0,0,0,0,0,0,30,40,1097
30,0,0,0,0,0,40,0,30,0,549.39
30,0,0,0,0,0,0,0,30,40,460.29
30,0,0,0,0,0,0,0,30,40,405.3
20,0,0,0,0,0,40,0,40,0,263.41
50,0,0,0,0,0,0,0,50,0,363.73
20,0,0,0,0,0,30,0,20,30,746.72
30,0,0,0,0,0,0,0,0,70,245
20,0,0,0,0,0,20,0,20,40,280
20,0,0,0,0,0,0,0,80,0,96.28
30,0,0,0,0,0,0,0,0,70,94.78
10,0,0,0,0,0,0,0,60,30,101.86
30,0,0,0,0,0,0,0,70,0,73.75
30,0,0,0,0,0,0,0,50,20,76
30,0,0,0,0,0,0,0,0,70,107.69
30,0,0,0,0,0,0,0,40,30,40.41
20,0,0,0,0,0,0,0,30,50,401
20,0,0,0,0,0,0,0,80,0,68.36
30,0,0,0,0,0,0,0,50,20,60.48
30,0,0,0,0,0,0,0,40,30,67.55
30,0,0,0,0,0,0,0,40,30,70.65
80,0,0,0,0,0,0,0,20,0,224.94
20,0,0,0,0,0,20,0,30,30,344.46
20,0,0,0,0,0,30,0,30,20,344.46
20,0,0,0,0,0,30,0,30,20,237.31
20,0,0,0,0,0,20,0,30,30,256.77
30,0,0,0,0,0,30,0,30,10,268
30,0,0,0,0,0,30,0,30,10,291.47
70,0,0,0,0,0,0,0,30,0,400.11
30,0,0,0,0,0,30,0,0,40,336
30,0,0,0,0,0,30,0,30,10,272
30,0,0,0,0,0,40,0,30,0,270
30,0,0,0,0,0,30,0,40,0,253
30,0,0,0,0,0,30,0,30,10,241
30,0,0,0,0,0,30,0,30,10,285.87
30,0,0,0,0,0,30,0,30,10,225.35
50,0,0,0,0,0,0,0,50,0,266.64
30,0,0,0,0,0,30,0,40,0,250
30,0,0,0,0,0,30,0,40,0,269.25
20,0,0,0,0,0,30,0,30,20,209.04
60,0,0,0,0,0,40,0,0,0,300
40,0,0,0,0,0,30,0,30,0,216.48
10,0,0,0,0,0,20,0,30,40,193
20,0,0,0,0,0,30,0,30,20,313.65
20,0,0,0,0,0,0,0,30,50,264.79
20,0,0,0,0,0,50,0,30,0,359.07
20,0,0,0,0,0,40,0,20,20,254.39
30,0,0,0,0,0,40,0,30,0,290.93
20,0,0,0,0,0,20,0,10,50,530.67
20,0,0,0,0,0,0,0,0,80,1613.19
10,0,0,0,0,0,0,0,0,90,1417.03
0,0,0,0,0,0,50,0,30,20,1930
10,0,0,0,0,0,10,0,10,70,1163.38
0,0,0,0,0,0,0,0,50,50,1122.49
20,0,0,0,0,0,30,0,30,20,1050.47
30,0,0,0,0,0,10,0,20,40,2066.51
0,0,0,0,0,0,0,0,50,50,2500
10,0,0,0,0,0,0,0,0,90,3008
30,0,0,0,0,0,20,0,20,30,751.72
20,0,10,0,0,0,20,0,30,20,840.82
30,0,0,0,0,0,20,0,30,20,766.25
40,0,0,0,0,0,10,0,40,10,839.29
30,0,10,0,0,0,30,0,30,0,867.98
30,0,0,0,0,0,30,0,40,0,1230
40,0,0,0,0,0,30,0,20,10,1090.96
20,0,0,0,0,0,20,0,20,40,1100
40,0,0,0,0,0,30,0,20,10,1080.53
50,0,0,0,0,0,50,0,0,0,934.33
20,0,0,0,0,0,20,0,30,30,1768.14
50,0,0,0,0,0,50,0,0,0,1088.89
70,0,0,0,0,0,0,0,30,0,1245.15
0,0,0,0,0,0,40,0,0,60,2075.25
0,0,0,0,0,0,0,0,0,100,1860.85
20,0,0,0,0,0,0,0,0,80,1768.33
10,0,0,0,0,0,0,0,10,80,1436.88
0,0,0,0,0,0,30,0,40,30,1007.45
10,0,0,0,0,0,30,0,30,30,873.35
20,0,0,0,0,0,20,0,30,30,1148.69
50,0,0,0,0,0,0,0,50,0,1081.66
10,0,0,0,0,0,0,0,40,50,1204.58
10,0,0,0,0,0,30,0,30,30,1120.31
10,0,0,0,0,0,0,0,0,90,555.2
40,0,0,0,0,0,10,0,0,50,732.47
50,0,0,0,0,0,50,0,0,0,508
60,0,0,0,0,0,40,0,0,0,416.6
50,0,0,0,0,0,40,0,0,10,449.96
20,0,0,0,0,0,50,0,20,10,467.84
30,0,0,0,0,0,40,0,0,30,608
50,0,0,0,0,0,40,0,0,10,416.6
50,0,0,0,0,0,40,0,0,10,374.68
